"RefDes","Value","Name","Quantity","Manufacturer","MFG P/N","Source"
"C1","100nF","NP_100nF_50V_0805","1","KEMET","C0805C104K5RACAUTO","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_KEMET-C0805C104K5RACAUTO_C129641.html"
"LED1, LED2, LED3, LED4","GRN","LED_GRN_0805","4","Lite-On","LTST-C170KGKT","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Lite-On-LTST-C170KGKT_C98221.html"
"MOD1","","CNC_Module","1","CJT(Changjiang Connectors)","A2541WV-12P","https://lcsc.com/product-detail/Pin-Header-Female-Header_CJT-Changjiang-Connectors-A2541WV-12P_C225487.html"
"R1, R2, R3, R8","300R","300R_0603","4","YAGEO","RC0603FR-07330RL","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_300R-300R-1_C114617.html"
"R4, R5, R6, R7","10k","10k_0603","4","YAGEO","RC0603FR-0710KL","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_10KR-1002-1_C98220.html"
"TB1","1945122","TB_3p5mm_5POS_PHOENIX_1945122","1","Phoenix contact","1945122","https://www.mouser.com/ProductDetail/Phoenix-Contact/1945122?qs=%2Fha2pyFaduhbi3rib8D%2FKl0gcFlVE0n3X32gq6iNFvI%3D"
"U1","74ACT245DW","SN74ACT245DW","1","Texas Instruments","CD74ACT245M96","https://lcsc.com/product-detail/74-Series_Texas-Instruments_CD74ACT245M96_Texas-Instruments-Texas-Instruments-CD74ACT245M96_C6534.html"
