"RefDes","Value","Name","Quantity","Manufacturer","MFG P/N","Source"
"D1","","Schottkey_40V_3A_DO-214AC","1","MDD(Microdiode Electronics)","B340A","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Jiangsu-Yutai-Elec-B340A_C64982.html"
"K1","5VDC","Relay_SRD-05VDC-SL-C","1","","SRD-05VDC-SL-C","https://lcsc.com/product-detail/Relays_Ningbo-Songle-Relay-SRD-05VDC-SL-C_C35449.html"
"LED1","GRN","LED_GRN_0805 (Foshan)","1","Foshan NationStar Optoelectronics","NCD0805G1","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD0805G1_C84260.html"
"MOD1","1x12 P","CNC_Module_Pins","1","CJT(Changjiang Connectors)","A2541WV-12P","https://lcsc.com/product-detail/Pin-Header-Female-Header_CJT-Changjiang-Connectors-A2541WV-12P_C225487.html"
"Q1","NPN 100mA 45V","MMBT9014B","1","ST(Semtech)","MMBT9014B","https://lcsc.com/product-detail/Transistors-NPN-PNP_ST-Semtech-MMBT9014B_C109430.html"
"R1","1.0k","1.0k_0805","1","YAGEO","	RC0805FR-071K5L","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0805FR-071KL_C95781.html"
"R2","1.5k","1.5k_0805","1","YAGEO","RC0805FR-071K5L","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1-5KR-1501-1_C114555.html"
"TB2","","TB_5mm_3POS","1","JILN","",""
