"RefDes","Name","Pattern","X (mm)","Y (mm)","Side","Rotate","Value"
"D1","Schottkey_40V_3A_DO-214AC","b340a-13-f","18.193","34.925","Top","180.0",""
"K1","Relay_SRD-05VDC-SL-C","JS-M","14.065","22.225","Top","0.0","5VDC"
"LED1","LED_GRN_0805 (Foshan)","LED_0805","29.623","33.338","Top","90.0","GRN"
"MOD1","CNC_Module_Pins","CNC_Module_V3","16","40","Top","0.0",""
"Q1","MMBT9014B","TO-236","8.033","35.242","Top","180.0",""
"R1","1.0k_0805","RES_0805","12.16","35.878","Top","180.0","1.0k"
"R2","1.5k_0805","RES_0805","24.86","33.337","Top","270.0","1.5k"
"TB2","TB_5mm_3POS","TB_5mm_3POS","9.303","4.128","Top","0.0",""
