"RefDes","Value","Name","Quantity","Manufacturer","MFG P/N","Source"
"J1, J2, J3, J4","1x3","HDR Pin 1x3 0.1 ","4","BOOMELE(Boom Precision Elec)","C49257","https://lcsc.com/product-detail/Pin-Header-Female-Header_BOOMELE-Boom-Precision-Elec-C49257_C49257.html"
"MOD1","1x12 P","CNC_Module_Pins","1","CJT(Changjiang Connectors)","A2541WV-12P","https://lcsc.com/product-detail/Pin-Header-Female-Header_CJT-Changjiang-Connectors-A2541WV-12P_C225487.html"
"S1","SPDT","XKB_SS-12D11L5","1","XKB Connectivity","SS-12D11L5","https://lcsc.com/product-detail/Toggle-Switches_XKB-Connectivity-SS-12D11L5_C319010.html"
"TB4","2 Pos","TB_5mm_2POS Socket","1","Ningbo Xinlaiya Elec.","XY2500R-B-5.00-2P","https://lcsc.com/product-detail/Pluggable-System-Terminal-Block_Ningbo-Xinlaiya-Elec-XY2500R-B-5-00-2P_C505815.html"
